1452725153|2083697682
停車|stop a vehicle| 
バス停|bus stop| 
整理|tidy|あなたは部屋をきちんと整理しておかなくてはならない。<br/>You must keep your room tidy.
整理券|numbered ticket|to determine order of service in shop, etc.
駐車券|a parking ticket| 
回数券|book of tickets|If you buy a bunch of tickets, one way they could be distributed is by binding them together like a little book. Nowadays it’s probably more likely that a 回数券 will just come as one ticket you can use multiple times, but you might still get a small bound set of tickets in some circumstances.
乗車券|a boarding ticket| 
現金|cash| 
現れる|appear| 
表現|expression| 
両親|parents| 
〜両|counter for carriages (e.g., in a train)| 
取り替える|exchange| 
着替える|to change clothes| 
両替|money exchange| 
優先席|a priority seat| 
優しい|kind| 
女優|an actress| 
座席|a seat| 
座る|sit| 
正座|sit on the floor(japanese style)| 
降車口|exit (for disembarking passengers)| 
降りる|get off| 
以降|after|９時以降に電話した方が安いですか。<br/>Is it cheaper to call after 9:00?
降る|fall| 
