jp|meaning|example
袖なし|sleeveless|
無地|plain|
柄/模様|pattern|
半袖|short sleeves|
縞||
長袖|long sleeves|
水玉|polka dots/drop of water|
花柄|flower pattern|
似合う|to suit/to match|
気に入る|take a fancy to|
お気に入り|one's favorite|
好む|to like|
好み|one's taste|
目立つ色|a color that stands out|
派手な|gaudy|
地味な|plain|
人気のあるデザイン|a popular design|
流行っている|be in fashion(popular)|
流行り/流行|trend/fashion|
サイズを確かめる/確認する|check the size|
サイズが合う|size fits|
ゆるい|loose|
きつい|tight|
品物をカゴに入れる|put goods in a basket|
セール/バーゲンで買う|buy on sale|
デパートの特売品|department store bargain|
３０パーセントオフ/３割引き|30% discount|
売り切れる|be sold out|
売り切れ|a sold out|
本物のダイヤモンド|real diamond|
偽物|fake|
得をする|make profit|
損をする|suffer a loss|
