1774175474|1585563342
洗濯|laundry| 
洗濯物がたまる|laundry piles up| 
洗濯物がぬれている|laundry is wet| 
洗濯物が湿っている|laundry is damp| 
洗濯物が乾く|The laundry dries| 
洗濯物が真っ白に仕上がる|Laundry comes out pure white.|
洗濯物をためる|put aside a load of laundry|
洗濯物をぬらす|wet the laundry| 
洗濯物を干す|Hang laundry to dry| 
洗濯物を乾燥機で乾かす|Dry the laundry in the dryer| 
洗濯物をたたむ|fold laundry| 
服を汚す|get clothes dirty| 
汚れ|dirt| 
そでが真っ黒に汚れる|the sleeves are stained black| 
(洗濯用)洗剤を入れる|(for laundry)add detergent| 
(台所用)洗剤|(for kitchen) dish soap| 
スーツをクリーニングに出す|Take the suit to the cleaner| 
コインランドリーで洗濯をする|Do laundry at a laundromat| 
タオルを干す|hang up the towels|
服をつるす|hang clothes| 
ワイシャツにアイロンをかける|iron a shirt| 
しわを伸ばす|smooth out wrinkles| 
しわが伸びる|wrinkles are smooth out| 
ウールのセーターが縮む|woolen sweater shrinks|
ジーンズの色が落ちる|jeans fade| 
